*,Activity,Transaction Type ,Submitted By,Submitted For,Submitter Role,Receiving Party,Submit Date,Facility Identifier Scheme,Facility Identifier,Transaction ID,OpeningBalance Date,OpeningBalance Amount,OpeningBalance Currency,OpeningBalance Base Ccy Equivalent,Utilized Amount,Unutilized Amount
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000001,1,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000001,2,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000001,3,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000001,4,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000001,5,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000001,6,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000001,7,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000001,8,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000001,9,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000001,10,2017-02-20,100010,USD,100010,100010,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222222,2017-02-20,ISIN,ANSHUL000001,11,2017-02-20,100011,USD,100011,100011,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234569,2017-02-20,ISIN,ANSHUL000001,12,2017-02-20,100012,USD,100012,100012,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222223,2017-02-20,ISIN,ANSHUL000001,13,2017-02-20,100013,USD,100013,100013,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234561,2017-02-20,ISIN,ANSHUL000001,14,2017-02-20,100014,USD,100014,100014,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222224,2017-02-20,ISIN,ANSHUL000001,15,2017-02-20,100015,USD,100015,100015,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS2222225,2017-02-20,ISIN,ANSHUL000001,16,2017-02-20,100016,USD,100016,100016,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234565,2017-02-20,ISIN,ANSHUL000001,17,2017-02-20,100017,USD,100017,100017,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234566,2017-02-20,ISIN,ANSHUL000001,18,2017-02-20,100018,USD,100018,100018,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234563,2017-02-20,ISIN,ANSHUL000001,19,2017-02-20,100019,USD,100019,100019,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234564,2017-02-20,ISIN,ANSHUL000001,20,2017-02-20,100020,USD,100020,100020,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,US1L009318,2017-02-20,ISIN,ANSHUL000002,N-1,2017-02-20,100001,USD,100001,100001,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9Z999994,2017-02-20,ISIN,ANSHUL000002,N-2,2017-02-20,100002,USD,100002,100002,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9X999996,2017-02-20,ISIN,ANSHUL000002,N-3,2017-02-20,100003,USD,100003,100003,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,ZW9W999997,2017-02-20,ISIN,ANSHUL000002,N-4,2017-02-20,100004,USD,100004,100004,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L122575,2017-02-20,ISIN,ANSHUL000002,N-5,2017-02-20,100005,USD,100005,100005,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L206998,2017-02-20,ISIN,ANSHUL000002,N-6,2017-02-20,100006,USD,100006,100006,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CH1L156797,2017-02-20,ISIN,ANSHUL000002,N-7,2017-02-20,100007,USD,100007,100007,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,CS11111111,2017-02-20,ISIN,ANSHUL000002,N-8,2017-02-20,100008,USD,100008,100008,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234567,2017-02-20,ISIN,ANSHUL000002,N-9,2017-02-20,100009,USD,100009,100009,0
,New,OpeningBalance,US1L015752,US1L015752,AGENT,LDR1234568,2017-02-20,ISIN,ANSHUL000002,N-10,2017-02-20,100010,USD,100010,100010,0
